type,name,ID,launage,date,star
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",10.0
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",7.7
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",9.0
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",8.7
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",0.0
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",3.2
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",3.2
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",3.2
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",7.5
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",10.0
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",8.3
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",0.0
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",10.0
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",10.0
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",7.5
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",7.5
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",6.9
"动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》",,"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文","更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17",8.9
launage,star,ID,date,type,name
"简体中文,简体中文,简体中文,简体中文,简体中文,英文,简体中文,简体中文,英文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,英文,英文,简体中文,简体中文,英文",,,"更新日期：2017-01-26,更新日期：2017-01-25,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-24,更新日期：2017-01-23,更新日期：2017-01-21,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-20,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-19,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-18,更新日期：2017-01-17,更新日期：2017-01-17","动作游戏,动作游戏,模拟,模拟,动作游戏,动作游戏,动作游戏,模拟,动作游戏,冒险游戏,角色扮演,动作游戏,第一人称射击,动作游戏,动作游戏,动作游戏,动作游戏,冒险游戏,冒险游戏,冒险游戏","《荣耀战魂》,《生化危机7》,《赛车经理》,《城市帝国》,《H1Z1：杀戮之王》,《噬神者2：狂怒解放》,《生化危机7》,《城市汽车驾驶》,《怒气战士》,《她还记得毛毛虫》,《自然之力》,《瑞思和夏恩》,《孤岛惊魂：原始杀戮》,《看门狗2》,《看门狗2》,《汉堡2》,《赖安布莱克》,《侦探沃克》,《永恒寓言》,《荒野八人组》"
